SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,gm,Mem_Prob
3950102931327879040,182.55650664981133,18.55677360886621,-0.2546781813856767,-1.9107005333259104,-2.036851406047838,0.6150107,0.46759996,0.9717505,0.0,-0.61279845,16,1.1147954,0.57504654,19.810244,-0.0689705797699189,-0.1728024376684461,0.9176618410589809
3950149694931821312,182.4851275772789,18.57041626231863,0.4231200193945753,-1.92674627721542,-1.4125482305469346,0.7292338,0.67533684,1.053781,1.7554218,1.2607636,17,1.1901371,0.63778114,20.160704,0.002311548431654,-0.9398654034859202,0.9575773853279852
3950149699227707264,182.48967680785552,18.57691677154579,-0.0338377608252507,-1.7022005020847062,-2.1851793965920647,0.077340044,0.07366735,1.0336808,0.0,0.8423563,17,1.1554557,0.281847,16.996841,-0.0109868485406883,-0.0005441982821003,0.98875349489719
3950004147080198656,182.5273973114992,18.41453003490373,0.2488028183536713,-1.985258895232014,-1.88372873428558,0.4836859,0.380272,1.0365158,0.0,0.88860095,16,1.1037246,0.29346085,19.481575,-0.0633258315195708,-0.4560568799975567,0.9172599054058486
3950007312471366144,182.52609295029995,18.452583436081845,0.0664078086721047,-1.6135401628990278,-2.1401106749056047,0.19272348,0.17619012,0.9671568,0.0,-0.7761484,16,1.2053474,0.9422951,18.468147,-0.0062747156632336,0.0147856828053939,0.975235588594305
3950053247146226176,182.33474931424576,18.41339854467096,0.7256272850639741,-1.8457737118486373,-2.01412449903235,0.24181831,0.21109244,1.1216336,1.5033978,2.7701437,17,1.299946,1.2729836,18.64502,0.0556589335460784,-0.1436797612346932,0.9676406217867384
3950054965133165184,182.35618760919263,18.46179870041799,1.022081557415703,-1.6070018234227514,-2.2015497814005904,0.33776894,0.2863109,0.99432594,0.0,-0.09367825,17,1.1502177,1.0111217,19.109015,-0.0676571472256737,-0.0040093975918005,0.947769438253422
3950055583608567808,182.43070897691288,18.516173618618364,0.3738823007667402,-1.4626667316514954,-1.938280504858771,0.61844033,0.4600636,0.99259627,0.0,-0.14169957,17,1.1937435,0.6629238,19.903822,0.0042064982120186,0.2579027650523754,0.9141917519902004
3950073485032207616,182.2517701429445,18.695059170031943,-0.0716678705641526,-1.7942832511518363,-1.6806761341246008,0.7340845,0.53543293,1.0418195,0.91755617,0.94949496,15,1.2069204,0.75032043,20.109716,0.011068493273036,-0.2906966323303031,0.907621695235142
3950098812455180416,182.63582869311983,18.50392272246993,0.0021612747459933,-1.7894768430708918,-2.177636386858453,0.07198578,0.057253014,1.0517385,0.0029714096,1.2400868,17,1.2229941,1.0485516,16.860706,0.0015931319752608,-0.0064734311954751,0.9774930845708552
3950101144621451136,182.5373634497945,18.46506170350118,0.5959718922683344,-1.787461479450524,-2.1930076023902467,0.7395909,0.662686,0.97312975,0.0,-0.5660952,15,1.1661202,0.84523964,20.013739,-0.0372127593294218,0.0019185993779139,0.902616362510506
3950101488218840192,182.55480226291584,18.49799428928529,-0.0416188840826108,-2.0103611133375354,-2.1971950412318817,0.2807055,0.2414012,0.931416,0.0,-1.6139636,17,1.2404308,0.9042759,18.853703,0.0321308005746991,0.0124992960195045,0.939033929493956
3950101526874405376,182.56000962896505,18.50971183874619,-0.0483398670694192,-1.711085435261416,-2.0798991186235485,0.064955615,0.057757474,1.0558342,0.0,1.3420173,17,1.2305895,1.07971,16.54293,0.0061874043783725,-0.0186673405479395,0.9974061376681098
3950101561234142720,182.5352530593518,18.51209029409064,0.0655114454387559,-1.6060759073484148,-2.116224844266068,0.090894796,0.08613407,0.96853346,0.0,-0.75827247,17,1.2199435,1.0184078,17.257404,0.0013891019736145,0.0245783685714621,0.9887454753153048
