SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,distance,gm,Mem_Prob
3949797301455170816,182.83065709082103,18.186693684128382,-0.3713841719784427,-2.0879358498219687,-2.811168806268977,0.42929503,0.23514195,0.9962176,0.0,-0.04760813,16,1.1894937,0.66861343,19.373528,-0.0004372020212026,0.4686884202403955,1.2351238237758972,
3949890966101979008,182.95026878819897,18.23411689144207,1.0578746083299708,-1.3141082698640552,-1.8885487847322449,1.0424747,0.8151703,0.9060863,0.0,-1.5631548,12,1.4336866,0.54016304,20.662806,0.2520453082377554,0.5250195717794806,0.5244002969267024,0.8703739021703126
3949893268204440960,182.9430033087879,18.26511177267792,1.286281911470369,-1.3231119268143514,-2.475862422756261,0.09327413,0.05255371,1.0086844,0.34479913,0.22339487,15,1.273741,1.5641308,17.0116,-0.0041999078314738,0.5013919191482726,-0.4867393221766325,3.034019957548182e-14
3949893409938678784,182.9648450608243,18.2868597535472,0.5033579823199636,-2.1530952375597447,-1.4481513251415896,0.057915755,0.035904374,1.0089151,0.0009862358,0.23554958,16,1.2080326,0.8834076,16.350353,0.0015152662408954,0.508488173797115,-1.7054506353670895,
3949981675811065728,182.4255927694698,18.15495634802464,0.3148986806590275,-1.131671339154192,-1.9736732555815133,0.64035654,0.5269311,1.0132668,0.0,0.31112945,16,1.0914369,0.5680237,20.01664,-0.0918936307954954,0.3996055380198197,0.5657609857649472,0.8747318293544227
3949985008705692800,182.70744587197143,18.18821599736636,0.3942686448279838,-2.1160847097102096,-2.429047527922892,0.23871641,0.15913446,1.0093461,0.10337334,0.24025835,17,1.2325659,0.8827801,18.612904,0.0261017175468341,0.3980573033105837,0.5085024051751073,0.5084074068704338
3949987826204237056,182.50208095210627,18.17731731638996,-0.9800343490584604,-2.323559754262412,-2.1310469358684263,0.5880046,0.4907202,0.95349026,0.0,-0.983308,16,1.2355725,0.51951027,19.94943,0.0551436580554081,0.3654021654032405,-0.1823285906543654,0.8979474850550887
3949990544919040384,182.6012088480745,18.318681327747427,0.6237574285191899,-2.552020924862871,-2.104475411215531,0.05162107,0.04667706,1.0297554,0.0,0.7384108,17,1.2049316,0.85576725,16.16239,0.0007302275990286,0.2359640182347573,-0.35884542482687,2.701767821260562e-55
3949991708854545280,182.3395394711458,18.11748983659312,0.1566701542253802,-2.4847530855635704,-2.0603729355668,0.575509,0.44582072,0.9953874,0.0,-0.06267673,16,1.2111969,0.60806847,19.982767,0.025331886850709,0.4632542353812001,-0.5032564711151162,0.8780337351054939
3949998786960727424,182.3194522179052,18.317032462781103,2.053822767776193,-1.3432504028556986,-2.300983460540924,0.92217857,0.801142,0.9252826,0.0,-1.3843523,13,1.3955238,0.8670254,20.19808,0.1903853752115349,0.3047298533561035,-0.17872385929223786,0.8856311401910268
