SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,distance,gm,Mem_Prob
3950004147080198656,182.5273973114992,18.41453003490373,0.2488028183536713,-1.985258895232014,-1.88372873428558,0.4836859,0.380272,1.0365158,0.0,0.88860095,16,1.1037246,0.29346085,19.481575,-0.0633258315195708,0.1274925060702339,-0.4560568799975567,0.9172599054058486
3950053247146226176,182.33474931424576,18.41339854467096,0.7256272850639741,-1.8457737118486373,-2.01412449903235,0.24181831,0.21109244,1.1216336,1.5033978,2.7701437,17,1.299946,1.2729836,18.64502,0.0556589335460784,0.2296381016789453,-0.1436797612346932,0.9676406217867384
3950054965133165184,182.35618760919263,18.46179870041799,1.022081557415703,-1.6070018234227514,-2.2015497814005904,0.33776894,0.2863109,0.99432594,0.0,-0.09367825,17,1.1502177,1.0111217,19.109015,-0.0676571472256737,0.1868953497140723,-0.0040093975918005,0.947769438253422
3950073485032207616,182.2517701429445,18.695059170031943,-0.0716678705641526,-1.7942832511518363,-1.6806761341246008,0.7340845,0.53543293,1.0418195,0.91755617,0.94949496,15,1.2069204,0.75032043,20.109716,0.011068493273036,0.3131799232349261,-0.2906966323303031,0.907621695235142
3950098812455180416,182.63582869311983,18.50392272246993,0.0021612747459933,-1.7894768430708918,-2.177636386858453,0.07198578,0.057253014,1.0517385,0.0029714096,1.2400868,17,1.2229941,1.0485516,16.860706,0.0015931319752608,0.1171873640063256,-0.0064734311954751,0.9774930845708552
3950103755961626240,182.6289074895245,18.57743723682618,-0.4399383853739911,-1.7471562650367,-1.5200249423046672,0.72778916,0.4525849,0.98917466,0.0,-0.19804753,16,1.2263381,0.8074188,20.094059,0.0260618471739171,0.109784170685743,-0.2304463099598037,0.90458517462225
3950104103854916864,182.656183805108,18.59888220408068,-0.0714086387615241,-1.3369569593290251,-2.01223850756664,0.25534636,0.18014972,1.073532,1.4085835,1.7293838,17,1.1629788,1.0077915,18.882446,-0.0545865604035771,0.1429852295297826,0.289320785049675,0.9303106117378256
3950106131079490560,182.855711773795,18.587935289256244,-0.3081467441603547,-1.662131654877769,-1.987737244288011,0.6712616,0.38151756,0.9204493,0.0,-1.7175806,17,1.1488589,0.707777,20.09526,-0.0438488068328897,0.3338866995339757,0.0132163243943209,0.9249691927036228
3950106642179648896,182.75324991048865,18.578190082185287,-0.0945043279276105,-1.4840890879630586,-1.952052109188456,0.548363,0.2874092,1.0626683,0.330723,1.4779954,17,1.157295,0.8629074,19.643108,-0.0474996689897424,0.2311011546631714,0.2192524288693071,0.9340951274401762
3950133889451868160,182.97258955252968,18.80781559627619,-0.753953197054426,-1.9304593559173924,-1.992158594628049,0.23832299,0.17666723,1.0026021,0.0,0.08831609,15,1.1200889,0.20853615,18.936733,-0.0427174232744806,0.5205711658912566,-0.2422010841532001,0.9622845782269308
3950152173128873984,182.5426768998909,18.66960057656197,0.112354000705951,-1.4877108124661838,-2.206035004234604,0.15522069,0.12634584,0.95659304,0.0,-0.9193123,13,1.4515061,0.10389328,17.400906,0.2932890242253316,0.1288191753144651,-0.0150329752571896,0.945615859833581
3950152237552487808,182.6052197797752,18.66151687639404,-0.1912291705143679,-1.938996133013396,-2.017450532277524,0.48391825,0.23509724,1.009171,0.0,0.23387136,16,1.1532017,0.96803665,19.339823,-0.0607233948442593,0.143942685851592,-0.2182273330400555,0.9461775983716936
3950154024258740352,182.39771432149013,18.64328414562205,0.1316000975511021,-1.3948759526309429,-2.013291781321653,0.17727794,0.14576386,1.0659524,0.58777386,1.612313,18,1.2190608,0.9220314,18.311096,0.0092211910294031,0.1626656758757315,0.2384304177624274,0.9266298164570306
3950156085843191168,182.4754076463996,18.69759844069994,-0.3679568568926469,-1.738783216923178,-1.8503034717288345,0.24432792,0.21489029,1.0171078,0.0,0.43521196,17,1.2080634,0.94153595,18.760496,-0.0034914515832711,0.1633103679619929,-0.1030631682340745,0.961503704817556
