SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,distance,gm,Mem_Prob,G0,(Gbp-Grp)0
3950149699227707264,182.48967680785552,18.57691677154579,-0.0338377608252507,-1.7022005020847062,-2.1851793965920647,0.077340044,0.07366735,1.0336808,0.0,0.8423563,17,1.1554557,0.281847,16.996841,-0.0109868485406883,0.0496679860519553,-0.0005441982821003,0.98875349489719,16.830371,0.203355
3950102347212337792,182.5348964525595,18.529906529223435,0.070712731717109,-1.8867510444244653,-2.1059747445422703,0.08840899,0.08027093,0.9456199,2.3602946e-15,-1.2941309,17,1.1387651,0.07034111,17.134714,-0.0181301624235894,0.0156266377921209,-0.0848902112668218,0.9650476060288374,16.968244,-0.008150890000000008
3950102351508126592,182.5357510544101,18.52151613702637,0.0096923575823295,-1.792671096064024,-2.0359568411292845,0.108448215,0.093502,1.021071,0.20442712,0.543173,17,1.1391367,0.006937027,17.417114,-0.0154591305207283,0.0231338240083923,-0.0865062786666809,0.9903856003317272,17.250644,-0.07155497300000001
3950102351508223104,182.54165987778885,18.530180094278148,-0.0121826200811025,-1.751756336472074,-1.932297516322044,0.0747329,0.06691893,1.0186279,0.44059324,0.47201705,17,1.15488,0.21138954,16.74521,-0.0080613626426864,0.0204269845844311,-0.0942232486564945,0.963384803428732,16.57874,0.13289753999999998
3950102420227656960,182.52926572428623,18.539181352792315,-0.0713890386348299,-1.8285889088249527,-2.083208127577186,0.07480802,0.07314016,0.9545782,0.0,-1.092067,17,1.2848558,0.2863369,16.964752,0.1181792770603249,0.0051128441955049,-0.0782652054430873,0.9872495826676808,16.798282,0.2078449
3950102587730507776,182.5116878414096,18.53301051976085,-0.0380940956630851,-1.572631280788047,-2.028842239174531,0.08489619,0.08403726,1.0491208,0.70945406,1.2400709,17,1.1343281,0.048683167,17.137348,-0.0217525260439543,0.0160631354755514,0.0797974183231579,0.9798992816498028,16.970878,-0.029808833000000007
3950102587734401152,182.5075734060791,18.53533496146627,-0.0626396591385287,-1.7050784773986312,-2.03053796546843,0.089784645,0.086158365,0.9370165,0.0,-1.5427653,17,1.1499674,0.046308517,17.297413,-0.0060257485766326,0.0186576770885382,-0.0224784608150908,0.9941029305047776,17.130943,-0.032183483000000006
3950102592025091840,182.5102858501365,18.534410700148488,0.0538254493807183,-1.6746835614187665,-2.1760325316654443,0.09436565,0.08477679,1.0544924,1.2022023,1.339322,17,1.2127682,0.06328392,17.18326,0.0561417107640767,0.0165560767829077,6.745272812515265e-05,0.9885686087057226,17.01679,-0.015208080000000013
3950102626385007616,182.5170429747981,18.544042840357825,-0.0616382716450594,-1.7471855777087153,-1.9915089228101224,0.07848475,0.073121354,1.0269623,0.48566458,0.6709279,17,1.2819743,0.33626175,16.970415,0.1126084443804116,0.0082150743631014,-0.0681669316130825,0.991753052977805,16.803945,0.25776975
3950102626385010944,182.5158969673024,18.54544472810235,-0.1003117566131618,-1.8066262845252727,-2.16073708694996,0.10166753,0.09877734,0.9954572,0.0,-0.08597479,17,1.1390061,-0.03208542,17.522314,-0.0143035395337574,0.0097330034415178,-0.0181104775434184,0.9851861942310808,17.355844,-0.11057742000000001
