SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,distance
3950102725172877824,182.53902255253573,18.53316788310781,0.3375889892726746,-2.1655062699887058,-2.731644097484246,0.8543417,0.5998431,1.1115844,1.9707285,2.3717616,15,1.111379,0.60785675,19.926857,-0.07447228619109,0.016572213745132642
3950102931327879040,182.55650664981133,18.55677360886621,-0.2546781813856767,-1.9107005333259104,-2.036851406047838,0.6150107,0.46759996,0.9717505,0.0,-0.61279845,16,1.1147954,0.57504654,19.810244,-0.0689705797699189,0.03479839796980322
3950149694931821312,182.4851275772789,18.57041626231863,0.4231200193945753,-1.92674627721542,-1.4125482305469346,0.7292338,0.67533684,1.053781,1.7554218,1.2607636,17,1.1901371,0.63778114,20.160704,0.002311548431654,0.048962169659979626
3950149699227042944,182.48693854790235,18.57027435954569,2.811853220807252,-1.052313577799867,-2.004643176077582,2.200047,1.3756955,0.8022183,0.0,-3.2762296,12,1.2775527,0.3931427,20.82224,0.1049267134460045,0.047414275735273584
3950149699227707264,182.48967680785552,18.57691677154579,-0.0338377608252507,-1.7022005020847062,-2.1851793965920647,0.077340044,0.07366735,1.0336808,0.0,0.8423563,17,1.1554557,0.281847,16.996841,-0.0109868485406883,0.04966798605195533
3950007312471366144,182.52609295029995,18.452583436081845,0.0664078086721047,-1.6135401628990278,-2.1401106749056047,0.19272348,0.17619012,0.9671568,0.0,-0.7761484,16,1.2053474,0.9422951,18.468147,-0.0062747156632336,0.08942324330557429
3950008613846231424,182.4732660117844,18.505509302072443,0.1991308271631936,-1.9412855442304384,-2.3380625655843934,0.76513976,0.47938335,1.025894,0.67695814,0.6074447,17,1.1447505,0.6691513,19.946291,-0.0452177650229164,0.06330858213490781
3950008648205933696,182.443979425634,18.50132571911116,-0.865560254964229,-1.4762502109803683,-1.4351197560167317,1.1329905,0.6733222,1.0596384,1.546411,1.2316471,14,1.2234331,0.75491905,20.089579,0.0272334718433859,0.09065721480621255
3950055583608544768,182.44289446337933,18.51082117878845,0.4938087583462774,-1.826642913396333,-2.5289734361306104,0.19602123,0.17733991,1.0003239,0.0,0.035054315,18,1.2209347,0.91358566,18.637766,0.011830041771015,0.08782618081136526
3950055583608567808,182.43070897691288,18.516173618618364,0.3738823007667402,-1.4626667316514954,-1.938280504858771,0.61844033,0.4600636,0.99259627,0.0,-0.14169957,17,1.1937435,0.6629238,19.903822,0.0042064982120186,0.09776399649199215
3950055686687784064,182.4379065640937,18.536950494180086,1.1163112886184272,-2.3286765474343936,-2.4787108777359523,1.609789,0.91601765,0.9571453,0.0,-0.8049688,15,1.1448869,-0.07057953,20.586882,-0.0072502750218059,0.08723969329949326
3950102587730483840,182.50046061357168,18.53205719002933,0.6255902875654835,-1.8018975926413776,-2.76000346995422,0.7684129,0.6238043,0.9177105,0.0,-1.8665321,16,0.9816498,0.5662327,20.171352,-0.2015702992964614,0.026477178029234515
3950101144621451136,182.5373634497945,18.46506170350118,0.5959718922683344,-1.787461479450524,-2.1930076023902467,0.7395909,0.662686,0.97312975,0.0,-0.5660952,15,1.1661202,0.84523964,20.013739,-0.0372127593294218,0.07792532553003108
3950101286356410112,182.5669165461084,18.485948915867564,1.4996081991553043,-1.7304083813919744,-2.307055181401984,1.2653575,0.8231862,1.071151,0.5817774,1.3875387,15,1.0428957,0.54992104,20.371906,-0.1393302570986931,0.0699908627613474
3950101385139621504,182.53542995411144,18.481697662446503,0.8920735013817178,-2.263190071012808,-2.412534734566623,0.48116875,0.37584525,0.96114874,0.0,-0.88699925,16,1.2532853,0.7543011,19.48494,0.0571324861835602,0.061197678527723315
3950101385139622016,182.5370258558308,18.483335301695217,0.044748381967973,-1.418126450829693,-2.757245168751333,0.6313164,0.5237305,1.0288458,0.43134224,0.67542666,16,1.2436547,0.6692257,19.793581,0.0536812650939251,0.05988462269776999
3950101419499491584,182.5148175133801,18.492599858345,-2.831104414908386,-1.6818511485940195,-1.511027872022137,2.0879066,1.3104135,1.100229,1.9100679,1.790703,11,1.1804808,0.71637917,20.758581,-0.0128520073512503,0.05043864618820287
3950101488218840192,182.55480226291584,18.49799428928529,-0.0416188840826108,-2.0103611133375354,-2.1971950412318817,0.2807055,0.2414012,0.931416,0.0,-1.6139636,17,1.2404308,0.9042759,18.853703,0.0321308005746991,0.053147694685766425
3950101526874405376,182.56000962896505,18.50971183874619,-0.0483398670694192,-1.711085435261416,-2.0798991186235485,0.064955615,0.057757474,1.0558342,0.0,1.3420173,17,1.2305895,1.07971,16.54293,0.0061874043783725,0.04762561786919075
3950101556938448000,182.5349210462857,18.50710461880529,-0.3117433066343368,-1.4159710226451871,-2.258087162225664,1.7533497,1.2263565,1.0970488,1.3115324,1.7568133,14,1.162908,0.5294132,20.565254,-0.0180979584245291,0.036278296378508754
3950101561234142720,182.5352530593518,18.51209029409064,0.0655114454387559,-1.6060759073484148,-2.116224844266068,0.090894796,0.08613407,0.96853346,0.0,-0.75827247,17,1.2199435,1.0184078,17.257404,0.0013891019736145,0.03161828163666791
3950101561234275968,182.5377762257569,18.507961254917745,0.366527561150877,-1.033572935067701,-2.1503603105182254,1.363852,0.89798373,1.0538638,1.3120799,1.1664749,15,1.0319688,0.63339996,20.453766,-0.1555634268195944,0.03635750419604721
3950101591298060032,182.53964346704672,18.514270828369657,-0.1906653766420557,-1.5396940437094715,-2.1394635363731727,0.1511015,0.1371639,0.98391324,0.0,-0.37693208,17,1.2821498,0.92837334,18.093447,0.07175521823232,0.03135822199126073
3950101591298060672,182.54104442442247,18.51553245578188,-1.218049481344842,-1.691376795521609,-1.5070185803382918,1.3057919,1.099188,0.9897029,0.0,-0.17711173,13,1.150579,0.6009674,20.5712,-0.0348274992729429,0.03095083927757482
3950101591298062592,182.55255685016004,18.519326503527022,-0.1583708481739925,-1.9167992913613423,-1.9433997801030425,0.15839384,0.14423458,1.0572127,0.59537727,1.4156017,17,1.1998495,0.9201317,18.097261,-0.0098243854833997,0.035685675460232574
3950101591298063104,182.5484538638524,18.51994419542013,0.2011027098244311,-1.792726100494447,-1.6726728320908442,0.29858446,0.27346858,1.0019531,0.0,0.07444079,17,1.2099526,0.9698715,19.023077,-0.0041382859738328,0.03219537614738356
3950101728737013760,182.5868400985724,18.515062428089035,-0.3334847981679169,-1.5690591163350205,-2.230822986157713,0.27836025,0.24912758,0.9838234,0.0,-0.34294435,17,1.1730007,0.9030018,18.904358,-0.0351896252335657,0.06745243191984522
3950101934895447808,182.5767413807872,18.52097308682616,-0.1816799369675035,-1.7541836389864598,-2.067272155865909,0.39425272,0.2961973,0.9532743,0.0,-1.016796,16,1.2004228,0.9013443,19.130804,-0.0076250100306356,0.05585070781455611
