# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Apr  8 13:50:12 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.062, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00025792 -1.78000 10.04139 0.0900000110 1.0816896640    0.090 -3.197  3.4840  5.477    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.86e-17      0.00 7.485e-01 2.512e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 12.763 13.561 15.302 12.330
0.00025792 -1.78000 10.04139 0.0966402069 1.1424117825    0.097 -2.956  3.5193  5.408    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.85e-17      0.00 7.470e-01 2.527e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.833e-04 12.159 12.808 14.101 11.702
0.00025792 -1.78000 10.04139 0.1000000015 1.1711064122    0.100 -2.840  3.5363  5.375    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-16      0.00 7.462e-01 2.535e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 11.870 12.443 13.590 11.393
0.00025792 -1.78000 10.04139 0.1200000048 1.3193154741    0.120 -2.548  3.5671  5.285    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-16      0.00 7.434e-01 2.563e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 11.139 11.579 12.523 10.620
0.00025792 -1.78000 10.04139 0.1400000006 1.4384526719    0.140 -2.365  3.5820  5.229    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-16      0.00 7.414e-01 2.583e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 10.682 11.065 11.933 10.146
0.00025792 -1.78000 10.04139 0.1599999964 1.5372931554    0.160 -2.222  3.5918  5.183    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.83e-16      0.00 7.401e-01 2.597e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 10.324 10.674 11.497 9.780
0.00025792 -1.78000 10.04139 0.2000000179 1.6938791367    0.200 -2.001  3.6042  5.109    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.81e-16      0.00 7.391e-01 2.606e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 9.773 10.082 10.851 9.220
0.00025792 -1.78000 10.04139 0.2500000000 1.8403257998    0.250 -1.799  3.6153  5.048    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 7.392e-01 2.605e-01 5.093e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 9.266 9.540 10.264 8.705
0.00025792 -1.78000 10.04139 0.3000000715 1.9529140962    0.300 -1.643  3.6242  5.007    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-15      0.00 7.393e-01 2.604e-01 5.092e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 8.878 9.123 9.813 8.311
0.00025792 -1.78000 10.04139 0.3500000238 2.0434175133    0.350 -1.516  3.6322  4.979    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-15      0.00 7.392e-01 2.605e-01 5.090e-05 1.374e-05 1.246e-04 -1.000 2.832e-04 8.560 8.782 9.441 7.989
