# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Apr  8 13:55:52 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.062, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00024632 -1.80000 10.00000 0.6011407375 2.3218927795    0.601 -0.648  3.7250  4.716    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.895e-01 2.103e-01 4.127e-05 1.115e-05 1.012e-04 -1.000 2.677e-04 6.389 6.418 6.816 5.839
0.00024632 -1.80000 10.00000 0.6137671471 2.3302121069    0.613 -0.595  3.7321  4.702    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-14      0.00 7.926e-01 2.071e-01 4.075e-05 1.101e-05 9.992e-05 -1.000 2.461e-04 6.258 6.282 6.664 5.717
0.00024632 -1.80000 10.00000 0.6284569502 2.3394087986    0.628 -0.534  3.7405  4.684    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-14      0.00 7.965e-01 2.032e-01 4.010e-05 1.083e-05 9.837e-05 -1.000 2.350e-04 6.106 6.125 6.490 5.578
0.00024632 -1.80000 10.00000 0.6419938803 2.3474566174    0.642 -0.478  3.7481  4.668    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 8.003e-01 1.995e-01 3.947e-05 1.067e-05 9.686e-05 -1.000 2.159e-04 5.965 5.983 6.332 5.452
0.00024632 -1.80000 10.00000 0.6499999762 2.3520353107    0.650 -0.444  3.7525  4.657    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-14      0.00 8.027e-01 1.971e-01 3.908e-05 1.056e-05 9.592e-05 -1.000 2.372e-04 5.881 5.899 6.238 5.377
0.00024632 -1.80000 10.00000 0.6629811525 2.3591896898    0.663 -0.389  3.7594  4.638    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-14      0.00 8.075e-01 1.923e-01 3.829e-05 1.035e-05 9.404e-05 -1.000 2.039e-04 5.744 5.762 6.087 5.256
0.00024632 -1.80000 10.00000 0.6774116158 2.3667738743    0.677 -0.328  3.7668  4.616    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-14      0.00 8.133e-01 1.865e-01 3.734e-05 1.010e-05 9.176e-05 -1.000 2.029e-04 5.589 5.610 5.921 5.120
0.00024632 -1.80000 10.00000 0.6911128163 2.3736387317    0.691 -0.268  3.7736  4.592    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.11e-14      0.00 8.192e-01 1.805e-01 3.636e-05 9.838e-06 8.942e-05 -1.000 2.454e-04 5.441 5.465 5.762 4.989
0.00024632 -1.80000 10.00000 0.6999999881 2.3779266974    0.700 -0.229  3.7780  4.576    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.55e-14      0.00 8.234e-01 1.764e-01 3.568e-05 9.658e-06 8.781e-05 -1.000 2.455e-04 5.343 5.369 5.658 4.902
0.00024632 -1.80000 10.00000 0.7013444901 2.3785645310    0.701 -0.223  3.7786  4.574    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.62e-14      0.00 8.241e-01 1.756e-01 3.555e-05 9.626e-06 8.753e-05 -1.000 2.439e-04 5.328 5.354 5.643 4.889
